Name,Keystrokes,Effect
Dock,OPTION + COMMAND + D,Toggles the dock visibility.
Spread,CONTROL + UP-ARROW,"Spreads out all the open applications on that desktop; the equivalent of: F3, or three-finger swipe up on the trackpad."
Switch,CONTROL + LEFT/RIGHT-ARROW,Moves to another desktop display if you have one; the equivalent of: three-finger swipe left or right on the trackpad.
Spotlight,COMMAND + SPACEBAR,The Spotlight search will allow you to search for applications or documents on your machine.
Shuffle,COMMAND + TAB,"Hold COMMAND, and tap TAB: The first tab tap will bring up a small window that shows all open applications, another tap will highlight the next app, and the highlighted app will be brought to front when you release the keys."
Copy,COMMAND + C,"After selecting/highlighting desired text, this command will copy the text to your clipboard."
Paste,COMMAND + V,"After selecting/highlighting the desired text, will delete the text and copy it to your clipboard."
Cut,COMMAND + X,Pastes whatever has been copied into your clipboard onto the document.
Quit,COMMAND + Q,Closes and quits the active application.
Window,COMMAND + W,Closes the current window of the active application.
New,COMMAND + N,Opens a new window of the active application.
Tab,COMMAND + T,Opens a new tab of the active application.
Save,COMMAND + S,Generally accepted command to save your progress is a document.
Find,COMMAND + F,Opens a search box which you can use to find text in the current document.
Undo,COMMAND + Z,"Steps backwards in your keystroke history, generally one character at a time."
Redo,SHIFT + COMMAND + Z,Steps forward in your keystroke history.
Screenshot,SHIFT + COMMAND + 3,"Takes a screenshot of your entire window, generally saves to Desktop, but also check Downloads."
Screenshot,SHIFT + COMMAND + 4,"Takes a screenshot of a selected area of your window. The cursor will change to look like a target vector, click hold and drag the cursor so the shadow covers the area you want to screenshot. Release the mouse to take the screenshot. Press the escape key to get back to your cursor."
,,
